GEO_ID,NAME,P1_006N,ABBR
0500000US37001,ALAMANCE,2848,ALAM
0500000US37003,ALEXANDER,392,ALEX
0500000US37005,ALLEGHANY,15,ALLE
0500000US37007,ANSON  ,221,ANSO
0500000US37009,ASHE  ,103,ASHE
0500000US37011,AVERY  ,63,AVER
0500000US37013,BEAUFORT  ,166,BEAU
0500000US37015,BERTIE  ,63,BERT
0500000US37017,BLADEN  ,48,BLAD
0500000US37019,BRUNSWICK  ,910,BRUN
0500000US37021,BUNCOMBE  ,3322,BUNC
0500000US37023,BURKE  ,3168,BURK
0500000US37025,CABARRUS  ,11984,CABA
0500000US37027,CALDWELL  ,544,CALD
0500000US37029,CAMDEN  ,119,CAMD
0500000US37031,CARTERET  ,594,CART
0500000US37033,CASWELL  ,64,CASW
0500000US37035,CATAWBA  ,7023,CATA
0500000US37037,CHATHAM  ,1627,CHAT
0500000US37039,CHEROKEE  ,158,CHER
0500000US37041,CHOWAN  ,40,CHOW
0500000US37043,CLAY  ,40,CLAY
0500000US37045,CLEVELAND  ,861,CLEV
0500000US37047,COLUMBUS  ,161,COLU
0500000US37049,CRAVEN  ,3093,CRAV
0500000US37051,CUMBERLAND  ,9173,CUMB
0500000US37053,CURRITUCK  ,275,CURR
0500000US37055,DARE  ,265,DARE
0500000US37057,DAVIDSON  ,2468,DAVS
0500000US37059,DAVIE  ,280,DAVE
0500000US37061,DUPLIN  ,173,DUPL
0500000US37063,DURHAM  ,16817,DURH
0500000US37065,EDGECOMBE  ,113,EDGE
0500000US37067,FORSYTH  ,9280,FORS
0500000US37069,FRANKLIN  ,465,FRAN
0500000US37071,GASTON  ,3543,GAST
0500000US37073,GATES  ,25,GATE
0500000US37075,GRAHAM  ,22,GRAH
0500000US37077,GRANVILLE  ,370,GRAN
0500000US37079,GREENE  ,37,GREE
0500000US37081,GUILFORD  ,28922,GUIL
0500000US37083,HALIFAX  ,284,HALI
0500000US37085,HARNETT  ,1494,HARN
0500000US37087,HAYWOOD  ,370,HAYW
0500000US37089,HENDERSON  ,1347,HEND
0500000US37091,HERTFORD  ,123,HERT
0500000US37093,HOKE  ,750,HOKE
0500000US37095,HYDE  ,7,HYDE
0500000US37097,IREDELL  ,4785,IRED
0500000US37099,JACKSON  ,512,JACK
0500000US37101,JOHNSTON  ,1886,JOHN
0500000US37103,JONES  ,34,JONE
0500000US37105,LEE  ,663,LEE 
0500000US37107,LENOIR  ,336,LENO
0500000US37109,LINCOLN  ,711,LINC
0500000US37111,MCDOWELL  ,388,MCDO
0500000US37113,MACON  ,265,MACO
0500000US37115,MADISON  ,87,MADI
0500000US37117,MARTIN  ,99,MART
0500000US37119,MECKLENBURG  ,72035,MECK
0500000US37121,MITCHELL  ,54,MITC
0500000US37123,MONTGOMERY  ,393,MONT
0500000US37125,MOORE  ,1264,MOOR
0500000US37127,NASH  ,915,NASH
0500000US37129,NEW HANOVER  ,3515,NEWH
0500000US37131,NORTHAMPTON  ,27,NORT
0500000US37133,ONSLOW  ,4729,ONSL
0500000US37135,ORANGE  ,12674,ORAN
0500000US37137,PAMLICO  ,62,PAML
0500000US37139,PASQUOTANK  ,470,PASQ
0500000US37141,PENDER  ,342,PEND
0500000US37143,PERQUIMANS  ,39,PERQ
0500000US37145,PERSON  ,125,PERS
0500000US37147,PITT  ,3078,PITT
0500000US37149,POLK  ,60,POLK
0500000US37151,RANDOLPH  ,2173,RAND
0500000US37153,RICHMOND  ,364,RICH
0500000US37155,ROBESON  ,908,ROBE
0500000US37157,ROCKINGHAM  ,500,ROCK
0500000US37159,ROWAN  ,1522,ROWA
0500000US37161,RUTHERFORD  ,348,RUTH
0500000US37163,SAMPSON  ,231,SAMP
0500000US37165,SCOTLAND  ,343,SCOT
0500000US37167,STANLY  ,1145,STAN
0500000US37169,STOKES  ,159,STOK
0500000US37171,SURRY  ,378,SURR
0500000US37173,SWAIN  ,54,SWAI
0500000US37175,TRANSYLVANIA  ,173,TRAN
0500000US37177,TYRRELL  ,43,TYRR
0500000US37179,UNION  ,9572,UNIO
0500000US37181,VANCE  ,286,VANC
0500000US37183,WAKE  ,97042,WAKE
0500000US37185,WARREN  ,62,WARR
0500000US37187,WASHINGTON  ,37,WASH
0500000US37189,WATAUGA  ,945,WATA
0500000US37191,WAYNE  ,1580,WAYN
0500000US37193,WILKES  ,325,WILK
0500000US37195,WILSON  ,900,WILS
0500000US37197,YADKIN  ,143,YADK
0500000US37199,YANCEY  ,40,YANC
